L1-correct GT Fad_score
label0 fad_score:28.421937824330293
label1 fad_score:9.407085658855614
label2 fad_score:11.649430504931267
label3 fad_score:19.033411386061857
label4 fad_score:9.470664454181115
label5 fad_score:9.909288314795418
label6 fad_score:11.486835182472362
label7 fad_score:26.63623163938368
label8 fad_score:18.42556880049448
label9 fad_score:10.271296185344823
label10 fad_score:34.36195342963588
label11 fad_score:51.357538667759606
label12 fad_score:10.94460485753267
label13 fad_score:8.455274356533273
label14 fad_score:25.115308364328612
label15 fad_score:5.03164289508266
label16 fad_score:20.01860452660302
label17 fad_score:5.721016208507287
label18 fad_score:34.37981543097306
label19 fad_score:13.129100079843731
label20 fad_score:14.165679437579573
label21 fad_score:4.129557119372031
label22 fad_score:31.381001349542917
label23 fad_score:6.906411739898854
label24 fad_score:4.744622040020042
label25 fad_score:21.911504001353908
label26 fad_score:13.534017460275528
label27 fad_score:11.599612727910358
label28 fad_score:5.376878573883966
label29 fad_score:6.472440246150189
label30 fad_score:5.98100264347236
label31 fad_score:5.6652584801965595
label32 fad_score:13.162823370873916
label33 fad_score:11.667407891234395
label34 fad_score:5.20310201201108
label35 fad_score:32.78624569437436
label36 fad_score:97.47618860535611
label37 fad_score:7.525757756388845
label38 fad_score:5.133140796140276
label39 fad_score:4.674431599509507
label40 fad_score:34.13572539045084
label41 fad_score:190.06746267317976
label42 fad_score:32.72534244254901
label43 fad_score:14.459745764335919
label44 fad_score:93.85620689554415
label45 fad_score:72.16076710020602
label46 fad_score:59.63116953675913
label47 fad_score:51.0450243065776
label48 fad_score:28.625742740569756
label49 fad_score:17.72504714976878
