L1_no_atten-correct GT Fad_score
label0 fad_score:28.266559618905262
label1 fad_score:8.935499709312715
label2 fad_score:11.27651745864326
label3 fad_score:18.12088629506708
label4 fad_score:9.437488494214815
label5 fad_score:10.174262330061417
label6 fad_score:10.420261196331241
label7 fad_score:27.202465265743907
label8 fad_score:18.204137163512456
label9 fad_score:10.14786443861478
label10 fad_score:34.19143347180305
label11 fad_score:51.29269822149855
label12 fad_score:10.789751492534275
label13 fad_score:8.482437461720732
label14 fad_score:25.262178380279767
label15 fad_score:4.765251649241252
label16 fad_score:20.718229946403486
label17 fad_score:5.285518036302978
label18 fad_score:34.07838948652829
label19 fad_score:13.540607579003673
label20 fad_score:13.085769987274595
label21 fad_score:4.533802721013526
label22 fad_score:30.757851692745465
label23 fad_score:7.622944689956318
label24 fad_score:4.4571159247753585
label25 fad_score:22.683653897205865
label26 fad_score:11.478879494978333
label27 fad_score:11.78575137573801
label28 fad_score:5.590104489366311
label29 fad_score:6.018326133788692
label30 fad_score:5.911636353555153
label31 fad_score:5.350674690934397
label32 fad_score:12.409367232101179
label33 fad_score:11.291906455281893
label34 fad_score:5.412548043020106
label35 fad_score:32.67211725042172
label36 fad_score:97.48659592306126
label37 fad_score:7.021371687901986
label38 fad_score:5.024266047170933
label39 fad_score:4.475088678622534
label40 fad_score:36.0598968263683
label41 fad_score:184.3482013271974
label42 fad_score:30.67004240142048
label43 fad_score:15.137495632497373
label44 fad_score:90.02740923197058
label45 fad_score:71.36066123573856
label46 fad_score:60.19796385200298
label47 fad_score:51.490285936829025
label48 fad_score:27.938124740138903
label49 fad_score:16.423923114101157
