L1_no_norm-correct GT Fad_score
label0 fad_score:31.15364752811839
label1 fad_score:13.307467335079139
label2 fad_score:24.30824875264413
label3 fad_score:22.53973602531651
label4 fad_score:16.30183985848394
label5 fad_score:16.041229149000944
label6 fad_score:18.32884033298361
label7 fad_score:33.92889512947787
label8 fad_score:24.857146409876954
label9 fad_score:17.788188603963036
label10 fad_score:39.881714948595786
label11 fad_score:56.83099514616791
label12 fad_score:25.40227257838875
label13 fad_score:16.382815946903097
label14 fad_score:37.0622551181591
label15 fad_score:15.781390309505344
label16 fad_score:34.33605645812709
label17 fad_score:13.688222010536604
label18 fad_score:43.93294839145848
label19 fad_score:25.085414132794273
label20 fad_score:15.092244120008068
label21 fad_score:18.350921863781718
label22 fad_score:37.63712473536132
label23 fad_score:18.892230476227432
label24 fad_score:18.983405425416862
label25 fad_score:34.02451072385992
label26 fad_score:17.8863059739827
label27 fad_score:17.83698629050972
label28 fad_score:17.492419113950355
label29 fad_score:18.515097606080356
label30 fad_score:22.839399063316243
label31 fad_score:12.649356159612143
label32 fad_score:17.69329421245682
label33 fad_score:18.243954671559244
label34 fad_score:15.897223199129073
label35 fad_score:42.913230452179114
label36 fad_score:99.53422985606389
label37 fad_score:9.190010696516424
label38 fad_score:13.05989109388713
label39 fad_score:16.5992178713101
label40 fad_score:48.48855646789787
label41 fad_score:189.61538033848754
label42 fad_score:34.57542932600271
label43 fad_score:25.787666705592716
label44 fad_score:106.31447540449207
label45 fad_score:81.69093968452606
label46 fad_score:64.77709692878652
label47 fad_score:63.044732134308006
label48 fad_score:39.34711096072086
label49 fad_score:31.88639628046047
