L2 GT Fad_score
label0 fad_score:19.19235405780554
label1 fad_score:9.133384214072498
label2 fad_score:12.442340717256613
label3 fad_score:17.941525064571245
label4 fad_score:10.66304073525966
label5 fad_score:9.46546146768584
label6 fad_score:11.17299134942327
label7 fad_score:26.285602318896636
label8 fad_score:18.041141909297707
label9 fad_score:10.089818513412459
label10 fad_score:34.80967571521792
label11 fad_score:51.31784384091838
label12 fad_score:11.893546268299488
label13 fad_score:6.719057362063545
label14 fad_score:21.17486730857102
label15 fad_score:4.946937117119454
label16 fad_score:21.46460867056378
label17 fad_score:6.070289766639174
label18 fad_score:34.05434701183306
label19 fad_score:13.430741739906146
label20 fad_score:13.391121565913885
label21 fad_score:4.800617360084269
label22 fad_score:31.204706660349675
label23 fad_score:8.005113306514183
label24 fad_score:4.670442995667695
label25 fad_score:21.777984502893638
label26 fad_score:12.998616886209994
label27 fad_score:11.26970651811933
label28 fad_score:6.069996244136036
label29 fad_score:8.159922271914532
label30 fad_score:5.901978761467742
label31 fad_score:5.188060929115506
label32 fad_score:11.645287245180484
label33 fad_score:12.114721885718517
label34 fad_score:4.828880193020886
label35 fad_score:31.979826307765233
label36 fad_score:100.13319768010558
label37 fad_score:7.232197697049884
label38 fad_score:4.765029727035683
label39 fad_score:4.346867478480643
label40 fad_score:35.7987605663702
label41 fad_score:186.2696871565197
label42 fad_score:30.3868667065458
label43 fad_score:15.553233739190741
label44 fad_score:92.69344574693557
label45 fad_score:70.68191780200625
label46 fad_score:60.0881175527296
label47 fad_score:52.143406594243444
label48 fad_score:31.29148601580379
label49 fad_score:17.475277908933663
