L2_no_atten GT Fad_score
label0 fad_score:22.847939127661654
label1 fad_score:9.484754330170222
label2 fad_score:11.659913307674167
label3 fad_score:18.128373022985187
label4 fad_score:11.38363374202996
label5 fad_score:10.317298081098981
label6 fad_score:11.623526574185227
label7 fad_score:26.72567145630721
label8 fad_score:18.610214632077067
label9 fad_score:10.385990164296052
label10 fad_score:29.902645115780295
label11 fad_score:49.97044908662048
label12 fad_score:12.26271494828914
label13 fad_score:7.811404395147566
label14 fad_score:22.62859632529561
label15 fad_score:5.972561895309568
label16 fad_score:20.43126311998732
label17 fad_score:5.693357633229599
label18 fad_score:33.673398244771725
label19 fad_score:15.16035045663077
label20 fad_score:12.881675813196743
label21 fad_score:5.561765004229468
label22 fad_score:32.491073669452945
label23 fad_score:7.41335701167009
label24 fad_score:5.898119287660858
label25 fad_score:24.248305847551173
label26 fad_score:13.037535463304266
label27 fad_score:10.987253996533724
label28 fad_score:6.204071127865948
label29 fad_score:9.267581769956978
label30 fad_score:9.690530941556606
label31 fad_score:5.657161947571419
label32 fad_score:12.66227164134414
label33 fad_score:11.634094229552584
label34 fad_score:5.433024930147361
label35 fad_score:32.949533029340955
label36 fad_score:96.11237688953871
label37 fad_score:7.421294347048942
label38 fad_score:5.398671484362502
label39 fad_score:5.879281456509503
label40 fad_score:36.73721005138778
label41 fad_score:185.7018976903589
label42 fad_score:30.72898879559058
label43 fad_score:15.811759403116453
label44 fad_score:89.44771472323441
label45 fad_score:70.94866470820554
label46 fad_score:60.21025125949191
label47 fad_score:50.8571088241994
label48 fad_score:31.045762965796158
label49 fad_score:18.182236631820437
